date,on_stream_hours,choke_size_percentage,bottomhole_pressure_psi,bottomhole_temperature_f,wellhead_pressure_psi,wellhead_temperature_f,oil_volume_bbl,gas_volume_mscf,water_volume_bbl,water_cut_percentage,gor_mscf_bbl
2023-01-01,24.0,80.75,2852.2,180.9,1312.9,117.4,3938.68,4607.84,102.19,2.53,1.1699
2023-01-02,24.0,80.54,2849.0,180.1,1316.6,115.8,3947.42,5054.92,102.79,2.54,1.2806
2023-01-03,24.0,81.51,2835.9,180.6,1294.9,121.3,4205.77,5269.03,109.93,2.55,1.2528
2023-01-04,24.0,83.79,2828.3,179.8,1264.1,121.1,4213.29,5089.26,110.54,2.56,1.2079
2023-01-05,24.0,83.44,2833.9,180.0,1241.8,116.0,4222.09,5096.09,111.18,2.57,1.207
2023-01-06,24.0,83.09,2835.6,179.9,1260.7,117.0,4142.78,5266.52,109.5,2.58,1.2713
2023-01-07,24.0,85.46,2813.2,179.8,1193.2,118.3,4240.61,5506.49,112.51,2.58,1.2985
2023-01-08,4.0,86.61,2807.4,179.9,1190.0,71.1,724.3,915.06,19.29,2.59,1.2634
2023-01-09,24.0,85.91,2798.2,179.2,1194.2,121.0,4330.07,5482.4,115.75,2.6,1.2661
2023-01-10,24.0,86.72,2780.6,179.8,1175.0,121.5,4377.8,5385.63,117.47,2.61,1.2302
2023-01-11,24.0,86.03,2783.4,180.7,1188.6,117.8,4256.21,5252.84,114.64,2.62,1.2342
2023-01-12,24.0,85.33,2816.6,179.5,1224.3,118.8,4309.81,5209.24,116.53,2.63,1.2087
2023-01-13,24.0,85.69,2804.8,179.5,1207.9,119.8,4034.21,4949.67,109.49,2.64,1.2269
2023-01-14,24.0,82.82,2791.4,180.0,1258.5,115.2,4171.32,5415.32,113.65,2.65,1.2982
2023-01-15,24.0,80.23,2855.0,180.1,1317.3,114.9,3933.08,5111.54,107.56,2.66,1.2996
2023-01-16,24.0,79.39,2872.2,180.2,1364.0,117.6,3965.54,4654.81,108.87,2.67,1.1738
2023-01-17,24.0,77.87,2844.0,179.9,1360.3,112.2,3794.06,4552.54,104.56,2.68,1.1999
2023-01-18,24.0,78.34,2854.6,180.0,1357.1,117.0,3761.61,4554.26,104.07,2.69,1.2107
2023-01-19,24.0,76.98,2852.0,179.8,1391.0,115.5,3819.73,4780.49,106.08,2.7,1.2515
2023-01-20,24.0,74.86,2884.0,179.4,1447.7,112.0,3575.85,4102.72,99.69,2.71,1.1473
2023-01-21,24.0,77.06,2838.1,180.0,1369.4,113.0,3761.5,4519.41,105.28,2.72,1.2015
2023-01-22,24.0,76.72,2855.9,180.4,1393.4,115.0,3710.83,4335.11,104.26,2.73,1.1682
